Business Name,Location,Phone,Rating,Review Count,Category,Status
Youth Hostel,"J47R+QQ6, Fraser Rd, near Maurya Hotel, South Gandhi Maidan, Raja Ji Salai, Dujra Diara, Patna, Bihar 800001, India",+91 612 221 1486,4,469,Student housing center,Needs Website
Boys Hostel and PG with Free WiFi - Best PG in Patna - Best Hostel in Patna - PG in Patna,"West Ramkrishna Nagar, Ramkrishan Nagar, Patna, Bihar 800027, India",+91 72770 90919,4.1,315,Boys' hostel,Needs Website
BOYS HOSTEL IN PATNA (ALMIGHTY),"House No. 6B/8, Tilak Marg, Boring Rd, near Dr. Gopal pd sinha Clinic, North, Sri Krishna Puri, Patna, Bihar 800013, India",+91 95705 41424,4,203,Boys' hostel,Needs Website
Maa Veena Boys Hostel,"near Carbon Factory, South Shivpuri, Shivpuri, Rajbansi Nagar, Patna, Bihar 800023, India",+91 85400 49229,4.7,513,Boys' hostel,Needs Website
Patliputra boys hostel,"Chaturang Apartment, 5A/61, New building, A.N. Path, Boring Rd, near Ragini Residency, North Sri Krishna Puri, Patna, Bihar 800013, India",+91 82986 24175,4.1,267,Boys' hostel,Needs Website
Rajdhani Grih Boys Hostel - Best Boys Hostel in Shivpuri Patna | Boys Hostel in Shivpuri Patna,"White House, C P Thakur Path, adjacent to Ram Bhajan Kunj Apartment, Nalapar, Shivpuri, Rajbansi Nagar, Patna, Bihar 801103, India",+91 88628 06908,4.8,346,Boys' hostel,Needs Website
Shree Ram Boy's Hostel,"get no -7, Paradise Market, Gandhi Maidan Rd, Salimpur Ahra, Bakarganj, Patna, Bihar 800004, India",+91 99054 14344,4.6,115,Boys' hostel,Needs Website
"Unique Boys Hostel & PG-Best Boys Hostel In Patna | Best PG In Patna | Boys Hostel In Jaganpura,Patna | boys","Unique Boys Hostel, Jaganpura - Chipura Rd, near Open Minds Birla School, Aadarsh Colony, East Lakshmi Nagar, Nayachak, Patna, Bihar 800027, India",+91 90318 63828,4.4,35,Boys' hostel,Needs Website
sri ram girls hostel,"Bharti House, Kasturba Path, Boring Rd, Patna, Bihar 800013, India",+91 62009 41519,4.6,272,Girls' hostel,Needs Website
guardian Boy's Hostel & PG,"Building name- Big Daddy, A-1, Rd Number 5C, Boring Rd, Block - A, North Sri Krishna Puri, Patna, Bihar 800013, India",+91 94734 34263,3.2,255,Boys' hostel,Needs Website
